id,uit_id,title,context,question,answers,is_impossible,plausible_answers,hop
0092-0023-0005,uit_016439,Chiến tranh Triều Tiên,"Liên Xô và đồng minh của họ không thừa nhận giải pháp này với lý do là nó bất hợp pháp vì có một thành viên thường trực của hội đồng Bảo an Liên Hiệp Quốc vắng mặt trong cuộc bỏ phiếu. Đối đầu lại điều này, quan điểm đưa ra là một thành viên thường trực của hội đồng phải thật sự phủ quyết để đánh bại giải pháp. Chính phủ Bắc Triều Tiên cũng không đồng ý và lý giải rằng cuộc xung đột này là một cuộc nội chiến, và vì vậy không nằm trong tầm giải quyết của Liên Hiệp Quốc. Năm 1950, một giải pháp của Liên Xô đưa ra kêu gọi chấm dứt thù địch và rút các lực lượng ngoại quốc đã bị bác bỏ.",Kết quả của ý kiến được Liên Xô trình bày là gì?,"{'text': [bị bác bỏ], 'answer_start': [578]}",False,,1
0063-0021-0005,uit_011760,George Washington,"Thứ ba và quan trọng nhất, Washington là hiện thân của cuộc kháng chiến vũ trang chống Vương miện - ông là người đại diện của cuộc Cách mạng. Tầm vóc to lớn và tài năng chính trị của ông đã khiến cho Quốc hội Lục địa, lục quân, người Pháp, địa phương quân và các tiểu bang đều hướng về một mục tiêu chung. Bằng việc tự nguyện từ chức và giải ngũ lục quân của mình sau khi chiến tranh kết thúc thắng lợi, ông vĩnh viễn thiết lập ra nguyên tắc dân sự là trên hết trong quân vụ. Và còn nữa, ông thường luôn lặp lại quan điểm rằng các binh sĩ nhà nghề có kỉ luật tốt thì luôn hơn hẳn gấp đôi những binh sĩ tự nguyện nhưng vô kỉ luật. Các binh sĩ nhà nghề như thế sẽ giúp người ta bỏ đi ý tưởng ngờ vực đối với một quân đội hiện dịch.",Tại sao lại cho rằng Washington là hiện thân của cuộc kháng chiến chỗng vũ trang chống Vương miện?,"{'text': [ông là người đại diện của cuộc Cách mạng], 'answer_start': [100]}",False,,1
0008-0001-0007,uit_001039,Albert Einstein,"Albert Einstein (tiếng Đức: [ˈalbɐt ˈaɪnʃtaɪn] ( nghe), phiên âm: Anh-xtanh; 14 tháng 3 năm 1879 – 18 tháng 4 năm 1955) là nhà vật lý lý thuyết người Đức, người đã phát triển thuyết tương đối tổng quát, một trong hai trụ cột của vật lý hiện đại (trụ cột kia là cơ học lượng tử). Mặc dù được biết đến nhiều nhất qua phương trình về sự tương đương khối lượng-năng lượng E = mc2 (được xem là ""phương trình nổi tiếng nhất thế giới""), ông lại được trao Giải Nobel Vật lý năm 1921 ""cho những cống hiến của ông đối với vật lý lý thuyết, và đặc biệt cho sự khám phá ra định luật của hiệu ứng quang điện"". Công trình về hiệu ứng quang điện của ông có tính chất bước ngoặt khai sinh ra lý thuyết lượng tử.",Thuyết tương đối và trụ cột nào là hai trụ cột của vật lí trị liệu?,"{'text': [], 'answer_start': []}",True,"{'text': [cơ học lượng tử], 'answer_start': [261]}",1
0112-0008-0002,uit_021288,Trường đại học,"Cơ sở đầu tiên được hình thành là Trường Đại học Cộng đồng Tiền Giang (1971) ở Định Tường, sau khi mô hình giáo dục mới này được mang đi trình bày sâu rộng trong dân chúng. Các trường đại học cộng đồng khác gồm có: Duyên Hải ở Nha Trang, Quảng Đà ở Đà Nẵng (1974), và Long Hồ ở Vĩnh Long. Trường Đại học Cộng đồng Tiền Giang đặt trọng tâm vào nông nghiệp; Trường Đại học Cộng đồng Duyên Hải hướng về ngư nghiệp. Riêng Trường Long Hồ còn đang dang dở chưa hoàn tất thì chính thể Việt Nam Cộng hòa bị giải tán. Ở Sài Gòn thì có Trường Đại học Regina Pacis (khai giảng vào năm 1973) dành riêng cho nữ sinh do Công giáo thành lập, và theo triết lý đại học cộng đồng.",Trường Đại học Cộng đồng Duyên Hải nằm ở đâu?,"{'text': [Nha Trang], 'answer_start': [227]}",False,,1
0027-0062-0003,uit_004621,Thành phố Hồ Chí Minh,"Theo thiết kế đô thị ban đầu của người Pháp vào năm 1860, thành phố Sài Gòn sẽ là nơi sinh sống cho 500.000 dân. Chính quyền Việt Nam Cộng hòa đã tăng quy mô của thành phố lên đến 3 triệu dân. Tuy nhiên hiện nay thành phố này có dân số kể cả số lượng khách vãng lai là 10 triệu người, kết cấu đô thị đã quá tải. Sài Gòn từng là thành phố của cây xanh với không gian kiến trúc theo quy hoạch của Pháp trước đây. Sau này thành phố đã thay đổi với việc thu hẹp không gian xanh để xây dựng nhà cửa, không gian kiến trúc thành phố trở nên chật chội bởi nhiều công trình xây dựng hỗn độn thiếu tính thống nhất.",Việc xây dựng các công trình hỗn độn đã gây ảnh hưởng đến thành phố như thế nào?,"{'text': [không gian kiến trúc thành phố trở nên chật chội], 'answer_start': [495]}",False,,1
0109-0013-0005,uit_020708,Việt Nam,"Trong Chiến tranh thế giới thứ hai, Đế quốc Nhật Bản đảo chính Pháp và chiếm toàn thể Đông Dương. Với sự chuẩn bị từ trước đó trong nhiều năm và với sự ủng hộ của người dân, ngay sau khi hay tin Đế quốc Nhật đầu hàng quân Đồng Minh, Hồ Chí Minh đã lãnh đạo Việt Minh giành lại chính quyền từ tay Nhật. Ngày 2 tháng 9 năm 1945, Hồ Chí Minh đọc Tuyên ngôn Độc lập và thành lập nước Việt Nam Dân chủ Cộng hòa, nhà nước tự chủ đầu tiên của người Việt thời hiện đại. Tới tháng 1 năm 1946, Chính phủ lâm thời Việt Nam Dân chủ Cộng hòa tổ chức Tổng tuyển cử trên phạm vi cả nước, Chính phủ Việt Nam Dân chủ Cộng hòa chính thức trở thành người đại diện hợp pháp duy nhất cho nhân dân Việt Nam.",Việt Minh đã đánh bại Nhật là nhờ vào sự lãnh đạo của ai?,"{'text': [Hồ Chí Minh], 'answer_start': [233]}",False,,1
0119-0046-0001,uit_022942,Cuba,"Về lịch sử, Cuba luôn có tỷ lệ giáo dục và biết chữ cao nhất Mỹ Latinh, cả trước và sau thời kỳ cách mạng. Giáo dục là miễn phí đối với mọi công dân Cuba gồm cả giáo dục đại học. Các định chế giáo dục tư nhân không được phép hoạt động. Phổ cập giáo dục áp dụng với mọi đứa trẻ từ sáu tuổi tới hết mức giáo dục cấp hai căn bản (thường là 15 tuổi) và tất cả học sinh, không cần biết giới tính và sắc tộc, đều mặc đồng phục của trường với màu sắc thể hiện cấp học. Trong suốt quá trình học, học sinh không phải trả một khoản phí nào, từ tiền may đồng phục, tiền mua sắm sách vở, giấy bút và còn được nuôi ăn một bữa hoặc cả ngày (tùy theo từng trường). Do vậy, gần như không có một trẻ em Cuba nào bị thất học, dù đó là ở nơi nông thôn xa xôi.",Cuba luôn là nước đứng đầu khu vực Mỹ Latinh về điều gì?,"{'text': [tỷ lệ giáo dục và biết chữ], 'answer_start': [25]}",False,,1
0127-0037-0004,uit_025330,Trung Quốc,"Tính đến tháng 8 năm 2018, nước Cộng hòa Nhân dân Trung Hoa có quan hệ ngoại giao với 178 quốc gia (trong đó có Palestine, quần đảo Cook và Niue). Tính hợp pháp của nước Cộng hòa Nhân dân Trung Hoa là vấn đề tranh chấp đối với Trung Hoa Dân Quốc và một vài quốc gia khác (tính đến tháng 8 năm 2018 có 17 quốc gia có quan hệ ngoại giao chính thức với Trung Hoa Dân Quốc). Năm 1971, nước Cộng hòa Nhân dân Trung Hoa thay thế Trung Hoa Dân Quốc trong vị thế là đại diện duy nhất của Trung Quốc tại Liên Hiệp Quốc và vị thế là một trong năm thành viên thường trực của Hội đồng Bảo an Liên Hiệp Quốc. Trung Quốc là một cựu thành viên và cựu lãnh đạo của Phong trào không liên kết, và vẫn nhìn nhận bản thân là nước bênh vực cho những quốc gia đang phát triển. Trung Quốc là một thành viên trong nhóm BRICS cùng với Brasil, Nga, Ấn Độ và Nam Phi.",Hội đồng Bảo an Liên Hiệp Quốc có bao nhiêu thành viên thường trực?,"{'text': [năm thành viên thường trực], 'answer_start': [533]}",False,,1
0056-0018-0003,uit_009946,Ukraina,"Ngày 16 tháng 7 năm 1990, một nghị viện mới thông qua Tuyên bố Nhà nước Ukraina có Chủ quyền. Tuyên bố lập ra các nguyên tắc tự quyết của nhà nước Ukraina, nền dân chủ, sự độc lập chính trị và kinh tế và sự ưu tiên của luật pháp Ukraina trong lãnh thổ Ukraina so với luật pháp Liên Xô. Một tháng trước đó, một tuyên bố tương tự đã được nghị viện Cộng hoà Xã hội chủ nghĩa Xô viết Liên bang Nga thông qua. Các sự kiện trên khởi đầu một giai đoạn ngắn có sự bất đồng giữa chính quyền trung ương Liên Xô và các chính quyền Cộng hoà mới. Tháng 8 năm 1991, Ủy ban Khẩn cấp Nhà nước chỉ huy một số sư đoàn Hồng quân, KBG cùng chính phủ Xô viết các nước Belarus và Azerbaijan tiến hành nổi dậy/đảo chính để loại bỏ Mikhail Gorbachev và tái lập quyền lực của Đảng Cộng sản Liên Xô. Sau khi cuộc đảo chính thất bại, ngày 24 tháng 8 năm 1991 nghị viện Ukraina thông qua Luật Độc lập trong đó nghị viện tuyên bố Ukraina là một nhà nước dân chủ độc lập. Một cuộc trưng cầu dân ý và bầu cử tổng thống đầu tiên diễn ra ngày 1 tháng 12 năm 1991. Ngày hôm đó, hơn 90% người dân Ukraina thể hiện sự ủng hộ Luật Độc lập, và họ bầu chủ tịch nghị viện, Leonid Kravchuk trở thành Tổng thống đầu tiên của đất nước. Tại cuộc gặp gỡ ở Brest, Belarus ngày 8 tháng 12, tiếp sau là cuộc gặp tại Alma Ata ngày 21 các lãnh đạo Belarus, Nga, và Ukraina chính thức giải tán Liên bang Xô viết và lập ra Cộng đồng các quốc gia độc lập (CIS).",Tổng thống đầu tiên của Ukraina là ai?,"{'text': [Leonid Kravchuk], 'answer_start': [1133]}",False,,1
0114-0047-0002,uit_021670,Richard I của Anh,"Richard xuất hiện với vai chính hoặc phụ trong nhiều tác phẩm giả tưởng, cả trong văn học lẫn phim ảnh. Như đã đề cập ở trên, Richard xuất hiện trong mối liên hệ với Robin Hood trong cuốn tiểu thuyết của Walter Scott: Ivanhoe và trong nhiều tác phẩm khác bắt nguồn từ quyển sách, và trong nhiều bộ phim về Robin Hood. Vở opera Riccardo Primo bởi George Frideric Handel dựa trên cuộc xâm chiếm đảo Cyprus của Richard. Ông là một trong những nhân vật chính trong tiểu thuyết The Talisman của Scott, lấy bối cảnh cuộc Thập tự chinh thứ ba. Ông xuất hiện trong nhiều tiểu thuyết lịch sử giả tưởng về cuộc Thập tự chinh thứ ba, ví dụ như hai cuốn tiểu thuyết The Kings of Vain Intent và The Devil is Loose của Graham Shelby. Ông là một nhân vật trong quyển The Lute Player của Norah Loft (tập trung vào mối quan hệ của ông với Berengaria xứ Navarre). Richard được đóng bởi Henry Wilcoxon trong tuyệt tác năm 1935 của Cecil B. DeMille: ""The Crusades"". Richard là một nhân vật chính trong quyển The Lion in Winter của James Goldman, trong đó có nhắc về mối quan hệ đồng tính giữa Richard và Philip của Pháp. James Rado thể hiện vai diễn Richard trên sân khấu Broadway năm 1966 dựa theo The Lion in Winter, Anthony Hopkins đóng vai đó trong bộ phim 1968 của Anthony Harvey và Andrew Howard đóng vai đó trong phiên bản làm lại năm 2003 đạo diễn bởi Andrey Konchalovskiy. Thêm nữa, Richard cũng xuất hiện trong trò chơi Assassin’s Creed của Ubisolf.",Vở opera Riccardo Primo được lấy cảm hứng từ đâu?,"{'text': [cuộc xâm chiếm đảo Cyprus của Richard], 'answer_start': [378]}",False,,1
0106-0057-0003,uit_020078,Đảo Ireland,"Hiệp hội Bóng đá Ireland (IFA) ban đầu là thể chế quản lý bóng đá trên toàn đảo. Bóng đá được chơi theo cách có tổ chức tại Ireland kể từ thập niên 1870, Cliftonville F.C. tại Belfast là câu lạc bộ bóng đá lâu năm nhất tại Ireland. Bóng đá trở thành môn thể thao phổ biến nhất quanh Belfast và tại Ulster, đặc biệt là trong các thập niên đầu. Năm 1921, các câu lạc bộ có trụ sở tại Dublin tách ra để thành lập Hiệp hội Bóng đá Nhà nước Ireland Tự do. Hiện nay, hiệp hội miền nam đảo mang tên Hiệp hội Bóng đá Ireland (FAI). FAI được FIFA công nhận vào năm 1923, song IFA và FAI tiếp tục tuyển chọn thành viên đội tuyển từ toàn đảo Ireland, một số cầu thủ thi đấu quốc tế cho cả hai đội tuyển. Năm 1950, FIFA chỉ đạo các hiệp hội chỉ tuyển chọn cầu thủ trong lãnh thổ tương ứng của họ, và đến năm 1953 thì chỉ đạo rằng đội tuyển của FAI được gọi là ""Cộng hoà Ireland"" và đội tuyển của IFA được gọi là ""Bắc Ireland"". Bắc Ireland giành quyền tham gia vòng chung kết Giải vô địch bóng đá thế giới vào các năm 1958, 1982 và 1986. Cộng hoà Ireland cũng giành quyền tham gia vòng chung kết giải đấu này vào các năm 1990, 1994, 2002. Trên toàn đảo Ireland, có sự quan tâm đáng kể đến giải Ngoại hạng Anh, và trên mức độ thấp hơn là Ngoại hạng Scotland.",Câu lạc bộ bóng đá lâu năm nhất tại Ireland là đội bóng nào?,"{'text': [Cliftonville F.C], 'answer_start': [154]}",False,,1
0051-0008-0006,uit_008239,Malaysia,"Sự thành lập liên bang khiến các căng thẳng tăng cao, bao gồm một cuộc xung đột với Indonesia, Singapore bị trục xuất vào năm 1965, và xung đột sắc tộc. Xung đột sắc tộc lên đến đỉnh điểm trong các cuộc bạo loạn sắc tộc ngày 13 tháng 5 năm 1969. Sau các cuộc bạo loạn, Thủ tướng Tun Abdul Razak đưa ra Chính sách Kinh tế mới gây tranh cãi, mục đích là nhằm nâng cao phần sở hữu kinh tế của bumiputera. Dưới thời Thủ tướng Mahathir Mohamad, Malaysia trải qua tăng trưởng kinh tế và đô thị hóa nhanh chóng. Kinh tế Malaysia chuyển đổi từ dựa vào nông nghiệp sang dựa vào chế tạo và công nghiệp. Nhiều siêu dự án được hoàn thành, chẳng hạn như tháp đôi Petronas, xa lộ Nam-Bắc, hành lang đa phương tiện siêu cấp, và thủ đô hành chính liên bang mới Putrajaya. Tuy nhiên, vào cuối thập niên 1990, Khủng hoảng tài chính châu Á suýt khiến cho đồng Ringgit cùng các thị trường chứng khoán và bất động sản Malaysia sụp đổ.",Nông nghiệp của Malaysia đã phát triển như thế nào?,"{'text': [], 'answer_start': []}",True,"{'text': [Kinh tế Malaysia chuyển đổi từ dựa vào nông nghiệp sang dựa vào chế tạo và công nghiệp], 'answer_start': [505]}",1
